blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,noticeDate,Lat,Lon
0292 002,1702 WILKENS AVE,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,4/24/02,39.28305774,-76.64427743
0185 016,1030 W FAYETTE ST,POPPLETON,9,WESTERN,3/26/15,39.29010322,-76.6347811
4062 029,509 E 26TH ST,BETTER WAVERLY,14,NORTHERN,12/12/14,39.31886719,-76.60873778
0013A020,1626 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,5/6/15,39.30745237,-76.64744695
3190B020,4405 TOWANDA AVE,TOWANDA-GRANTLEY,6,NORTHWESTERN,7/10/13,39.33899849,-76.66906509
2454C025,3019 PRESSTMAN ST,ROSEMONT,9,SOUTHWESTERN,3/4/11,39.30419096,-76.66809766
0037 009,1311 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,4/17/09,39.30382864,-76.63870114
5918 019,3404 RAMONA AVE,BELAIR-EDISON,13,NORTHEASTERN,10/25/13,39.32312663,-76.56319012
2164 004C,42 N WHEELER AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,11/17/10,39.28903226,-76.65461227
6290 045,144 S HIGHLAND AVE,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,5/15/14,39.29036442,-76.56957376
1160 013,1217 HARFORD AVE,OLIVER,12,EASTERN,11/8/13,39.30441741,-76.60134033
1606 083,827 N MADEIRA ST,MIDDLE EAST,13,EASTERN,3/3/11,39.30054992,-76.58580828
2284 033,3514 W FRANKLIN ST,ALLENDALE,8,SOUTHWESTERN,8/3/09,39.29286976,-76.67643767
1549 050,1835 E BIDDLE ST,MIDDLE EAST,12,EASTERN,12/11/09,39.3042133,-76.59155203
0276 040,1722 RAMSAY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,2/28/13,39.28337806,-76.64448675
3420 006,2535 MADISON AVE,RESERVOIR HILL,7,CENTRAL,9/10/04,39.31461196,-76.63929014
2403 048,1623 N DUKELAND ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,7/26/13,39.30692668,-76.66296871
0003 002,1802 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,2/25/08,39.30898886,-76.64671669
3814 033,443 E 22ND ST,BARCLAY,12,EASTERN,12/19/05,39.31430611,-76.60985877
0314 069,2020 ETTING ST,DRUID HEIGHTS,11,CENTRAL,4/12/13,39.30736185,-76.63648963
1463 057,1705 N BRADFORD ST,BROADWAY EAST,13,EASTERN,4/15/13,39.31015626,-76.58492792
7134 016,4231 AUDREY AVE,BROOKLYN,10,SOUTHERN,5/12/05,39.2290391,-76.60583383
3165 023,2909 SPRINGHILL AVE,PARK CIRCLE,6,NORTHWESTERN,3/13/09,39.33039585,-76.66380131
1503 055,2316 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,9/24/10,39.30699356,-76.58479103
1125 083,1528 N SPRING ST,OLIVER,12,EASTERN,5/16/06,39.3080594,-76.59916322
0708 052,424 S STRICKER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,11/20/06,39.28258541,-76.64087105
2153 116,42 N BENTALOU ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,2/22/15,39.28896962,-76.6531659
4594 007,5013 QUEENSBERRY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,2/29/08,39.34930707,-76.67106199
2320A047,1618 N BENTALOU ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,8/18/09,39.30683358,-76.65424537
1535 053,2215 E PRESTON ST,BROADWAY EAST,13,EASTERN,11/3/10,39.30548427,-76.58658698
1468 088,1623 N CHAPEL ST,BROADWAY EAST,12,EASTERN,12/14/12,39.30941589,-76.59076102
4179L026,3632 ELMORA AVE,BELAIR-EDISON,13,NORTHEASTERN,1/9/14,39.31619975,-76.5672966
0272 092,2115 WILHELM ST,CARROLLTON RIDGE,9,SOUTHWESTERN,1/25/11,39.28339385,-76.6505225
0174 061,106 N SMALLWOOD ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,4/19/11,39.28977259,-76.65180343
1127 029,1615 E FEDERAL ST,OLIVER,12,EASTERN,7/24/15,39.30829058,-76.5960506
3825 019,2452 GREENMOUNT AVE,BARCLAY,12,EASTERN,2/3/10,39.31734022,-76.6097577
0118 108,532 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,3/3/09,39.29458851,-76.64991681
0121 043,527 N FULTON AVE,HARLEM PARK,9,WESTERN,3/18/09,39.29451565,-76.645259
0247 046,1404 LEMMON ST,UNION SQUARE,9,SOUTHERN,7/8/08,39.286021,-76.6398406
0032 010,1320 N MOUNT ST,SANDTOWN-WINCHESTER,7,WESTERN,11/14/08,39.3037049,-76.64493532
1450 046,1804 N COLLINGTON AVE,BROADWAY EAST,12,EASTERN,6/9/11,39.31112894,-76.58767451
0060 050,1019 N FULTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,2/9/11,39.30035776,-76.64553974
6796 034,6215 EASTBOURNE AVE,BROENING MANOR,1,SOUTHEASTERN,7/30/14,39.27288723,-76.53896327
1477 113,1710 CRYSTAL AVE,BROADWAY EAST,12,EASTERN,6/22/11,39.30818234,-76.5933644
